"match_id","home","away","site","match_date","attendance","home_set1","home_set2","home_set3","home_set4","home_set5","away_set1","away_set2","away_set3","away_set4","away_set5","neutral_site"
"4475064","Maryville (MO)","Thomas More","St. Louis, MO","03/23/2024 05:00 PM","415",25,15,25,16,8,19,25,18,25,15,""
"4475072","George Mason","Tusculum","EagleBank Arena (Fairfax, VA)","03/23/2024 05:00 PM","208",25,25,25,NA,NA,22,19,22,NA,NA,""
"4475069","Harvard","Dominican (NY)","Boston, MA","03/23/2024 05:00 PM","150",23,25,25,25,NA,25,14,21,21,NA,""
"4475074","NJIT","Princeton","Newark, NJ","03/23/2024 06:00 PM","222",22,20,26,15,NA,25,25,24,25,NA,""
"4475071","McKendree","Loyola Chicago","Melvin Price Convocation Center (Lebanon, IL)","03/23/2024 06:00 PM","95",26,25,25,NA,NA,24,18,21,NA,NA,""
"4475075","Morehouse","Benedict","Atlanta, GA","03/23/2024 06:00 PM","0",27,22,25,24,NA,29,25,23,26,NA,""
"4475080","FDU","Merrimack","Bogota Savings Bank Center (Hackensack, NJ)","03/23/2024 07:00 PM","102",25,25,25,NA,NA,16,18,17,NA,NA,""
"4475081","Purdue Fort Wayne","Ball St.","Gates Sports Center (Fort Wayne, IN)","03/23/2024 07:00 PM","909",25,23,24,29,11,18,25,26,27,15,""
"4475070","Pepperdine","BYU","Firestone Fieldhouse (Malibu, CA)","03/23/2024 08:00 PM","1263",25,17,25,19,7,23,25,21,25,15,""
"4475082","Hawaii","CSUN","SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)","03/24/2024 01:00 AM","6839",23,16,25,21,NA,25,25,22,25,NA,""
"5251661","Lincoln Memorial","Missouri S&T","Mary Mars Gym (Harrogate, TN)","03/25/2024 07:00 PM","95",25,25,25,NA,NA,14,9,15,NA,NA,""
"5251662","Lincoln Memorial","Missouri S&T","Mary Mars Gym (Harrogate, TN)","03/26/2024 03:00 PM","74",25,25,25,NA,NA,16,21,17,NA,NA,""
"4475090","American Int'l","Sacred Heart","Henry Butova Gymnasium (Springfield, MA)","03/26/2024 06:00 PM","98",18,22,19,NA,NA,25,25,25,NA,NA,""
"4475095","Barton","Va. Wesleyan","Wilson, NC","03/26/2024 06:00 PM","150",25,25,25,NA,NA,13,19,17,NA,NA,""
"4475104","Kentucky St.","Central St. (OH)","Frankfort, KY","03/26/2024 07:00 PM","57",23,14,22,NA,NA,25,25,25,NA,NA,""
"4475106","North Greenville","Tusculum","Tigerville, SC","03/26/2024 07:00 PM","230",27,24,25,25,NA,25,26,19,23,NA,""
"4475110","Quincy","Maryville (MO)","Quincy, IL","03/26/2024 08:00 PM","876",19,22,25,23,NA,25,25,15,25,NA,""
"4475116","Morehouse","Fort Valley St.","Atlanta, GA","03/27/2024 06:00 PM","0",0,NA,NA,NA,NA,3,NA,NA,NA,NA,""
"4475137","Warner","Edward Waters",",","03/27/2024 07:00 PM","89",18,25,26,23,15,25,22,24,25,10,""
"4475131","North Greenville","Erskine","Tigerville, SC","03/27/2024 07:00 PM","180",25,25,25,NA,NA,12,12,21,NA,NA,""
"4475136","Barton","Mount Olive","Wilson, NC","03/27/2024 07:00 PM","300",24,20,19,NA,NA,26,25,25,NA,NA,""
"4475119","King (TN)","Lees-McRae","Bristol, TN","03/27/2024 07:00 PM","121",25,25,25,NA,NA,22,15,17,NA,NA,""
"4475121","Emmanuel (GA)","Belmont Abbey","Franklin Springs, GA","03/27/2024 07:00 PM","87",25,17,22,25,13,20,25,25,18,15,""
